구분,한국지역난방공사,한국동서발전,한국남부발전,한국중부발전,한국서부발전,한국남동발전,인천종합에너지
웹사이트,www.kdhc.co.kr,www.ewp.co.kr,www.kospo.co.kr,www.komipo.co.kr,www.iwest.co.kr,www.koenergy.kr,www.e-inteco.co.kr
설립구분,특수법인 공기업,발전 5사,발전 5사,발전 5사,발전 5사,발전 5사,민간법인
고객유형,B2C 중심,B2B 중심,B2B 중심,B2B 중심,B2B 중심,B2B 중심,B2C 중심
대표전화,1688-2488,070-5000-8282,070-7713-8000,070-7511-1114,041-400-1000,070-8898-1114,1577-1079
고객센터명칭,따소미 고객센터,확인필요,확인필요,확인필요,확인필요,확인필요,열친구
본사위치,경기 성남,울산,부산,충남 보령,충남 태안,경남 진주,인천 송도
AI 챗봇,○ (생성형 AI 구축중),△ (IDPP),◎ (KEMI),△ (IDPP),△ (IDPP),△ (IDPP),×
모바일 앱,○ (헬프라인 앱),×,×,×,×,×,×
열요금 조회,◎,N/A,N/A,N/A,N/A,N/A,× (시뮬레이션만)
열요금 계산기,○,N/A,N/A,N/A,N/A,N/A,○
전자고지/납부,○,N/A,N/A,N/A,N/A,N/A,확인필요
온라인 신청,○,△,△,△,△,△,확인필요
고장신고 시스템,확인필요,N/A,N/A,N/A,N/A,N/A,확인필요
설비점검 서비스,○,N/A,N/A,N/A,N/A,N/A,확인필요
공사비 시뮬레이션,○,N/A,N/A,N/A,N/A,N/A,○
실시간 정보 제공,○ (데이터 플랫폼),△ (IDPP),△ (IDPP),△ (IDPP),△ (IDPP),△ (IDPP),×
통합검색,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요
다국어 지원,확인필요,○ (영문),확인필요,확인필요,○ (영문),확인필요,확인필요
웹 접근성,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요
디지털 혁신 특징,생성형AI+헬프라인앱,IDPP 플랫폼,KEMI AI+K알파고,IDPP 플랫폼,IDPP 플랫폼,IDPP 플랫폼,관리사무소 특화

범례
◎,매우 우수 (선도적)
○,우수 (제공됨)
△,보통 (제한적)
×,미제공
N/A,해당없음
확인필요,직접 확인 필요
